cond;age;gender;dotx;doty;fingerx;fingery;;distance;;;;;;;
mono;26;m;1036;319;1028;416;;97,32933782;;;;;;;
mono;26;m;1037;327;1026;424;;97,62171889;;;;;;;
mono;26;m;1038;334;1025;428;;94,89467846;;;;;;;
mono;26;m;1039;342;1022;438;;97,49358953;;;;;;;
mono;26;m;1040;349;1019;446;;99,24716621;;;;;;;
mono;26;m;1041;357;1016;455;;101,1385189;;;;;;;
mono;26;m;1041;364;1014;459;;98,762341;;;;;;;
mono;26;m;1041;371;1011;469;;102,4890238;;;;;;;
mono;26;m;1041;378;1008;476;;103,406963;;;;;;;
mono;26;m;1040;385;1004;483;;104,4030651;;;;;;;
mono;26;m;1039;392;1003;488;;102,5280449;;;;;;;
mono;26;m;1038;399;1000;495;;103,247276;;;;;;;
mono;26;m;1036;405;997;502;;104,5466403;;;;;;;
mono;26;m;1035;412;996;504;;99,92497185;;;;;;;
mono;26;m;1033;419;993;509;;98,48857802;;;;;;;
mono;26;m;1031;426;990;514;;97,08243919;;;;;;;
mono;26;m;1029;432;986;519;;97,04638066;;;;;;;
mono;26;m;1027;439;983;524;;95,713113;;;;;;;
mono;26;m;1025;446;981;526;;91,30169768;;;;;;;
mono;26;m;1022;452;976;531;;91,41662868;;;;;;;
mono;26;m;1020;459;972;535;;89,88882022;;;;;;;
mono;26;m;1017;465;970;537;;85,98255637;;;;;;;
mono;26;m;1014;472;965;542;;85,44588931;;;;;;;
mono;26;m;1011;478;959;547;;86,40023148;;;;;;;
mono;26;m;1007;484;953;554;;88,40814442;;;;;;;
mono;26;m;1004;491;949;557;;85,91274643;;;;;;;
mono;26;m;1000;497;941;564;;89,27485648;;;;;;;
mono;26;m;997;503;934;572;;93,43446901;;;;;;;
mono;26;m;993;509;924;581;;99,72462083;;;;;;;
mono;26;m;989;515;918;587;;101,1187421;;;;;;;
mono;26;m;984;520;907;596;;108,1896483;;;;;;;
mono;26;m;980;526;896;604;;114,629839;;;;;;;
mono;26;m;976;532;885;612;;121,1651765;;;;;;;
mono;26;m;971;537;880;616;;120,5072612;;;;;;;
mono;26;m;966;543;870;623;;124,9639948;;;;;;;
mono;26;m;961;548;860;628;;128,844868;;;;;;;
mono;26;m;956;553;852;631;;130;;;;;;;
mono;26;m;951;558;849;632;;126,015872;;;;;;;
mono;26;m;946;563;844;635;;124,8519123;;;;;;;
mono;26;m;941;568;838;636;;123,4220402;;;;;;;
mono;26;m;935;573;834;637;;119,5700631;;;;;;;
mono;26;m;930;577;831;638;;116,2841348;;;;;;;
mono;26;m;924;582;827;639;;112,5077775;;;;;;;
mono;26;m;918;586;823;640;;109,2748827;;;;;;;
mono;26;m;912;590;820;641;;105,1903037;;;;;;;
mono;26;m;906;594;818;641;;99,76472322;;;;;;;
mono;26;m;900;598;815;642;;95,713113;;;;;;;
mono;26;m;894;602;812;643;;91,67878708;;;;;;;
mono;26;m;888;605;809;644;;88,10221337;;;;;;;
mono;26;m;882;609;808;644;;81,85963596;;;;;;;
mono;26;m;875;612;806;645;;76,4852927;;;;;;;
mono;26;m;869;615;803;645;;72,49827584;;;;;;;
mono;26;m;863;618;801;645;;67,62396025;;;;;;;
mono;26;m;856;621;800;645;;60,92618485;;;;;;;
mono;26;m;850;623;798;645;;56,46237685;;;;;;;
mono;26;m;843;626;796;645;;50,69516742;;;;;;;
mono;26;m;836;628;794;645;;45,31004304;;;;;;;
mono;26;m;830;630;792;645;;40,85339643;;;;;;;
mono;26;m;823;632;791;645;;34,53983208;;;;;;;
mono;26;m;816;634;790;645;;28,23118843;;;;;;;
mono;26;m;809;635;789;645;;22,36067977;;;;;;;
mono;26;m;803;637;788;645;;17;;;;;;;
mono;26;m;796;638;787;645;;11,40175425;;;;;;;
mono;26;m;789;639;786;646;;7,615773106;;;;;;;
mono;26;m;782;640;785;646;;6,708203932;;;;;;;
mono;26;m;775;641;784;646;;10,29563014;;;;;;;
mono;26;m;769;641;783;646;;14,86606875;;;;;;;
mono;26;m;761;641;781;647;;20,88061302;;;;;;;
mono;26;m;754;641;780;647;;26,68332813;;;;;;;
mono;26;m;746;640;778;647;;32,75667871;;;;;;;
mono;26;m;739;639;775;647;;36,87817783;;;;;;;
mono;26;m;731;638;773;647;;42,95346319;;;;;;;
mono;26;m;724;636;772;647;;49,24428901;;;;;;;
mono;26;m;716;635;770;647;;55,31726674;;;;;;;
mono;26;m;709;633;767;646;;59,43904441;;;;;;;
mono;26;m;702;631;764;646;;63,78871374;;;;;;;
