cond;age;gender;dotx;doty;fingerx;fingery;;distance;;;;;;;;
3d;23;m;1036;319;1006;225;;98,67117107;;;;;;;;
3d;23;m;1037;327;1008;229;;102,2007828;;;;;;;;
3d;23;m;1038;334;1011;233;;104,5466403;;;;;;;;
3d;23;m;1039;342;1012;236;;109,3846424;;;;;;;;
3d;23;m;1040;349;1014;243;;109,1421092;;;;;;;;
3d;23;m;1041;357;1017;250;;109,658561;;;;;;;;
3d;23;m;1041;365;1019;256;;111,1980216;;;;;;;;
3d;23;m;1041;372;1020;261;;112,9690223;;;;;;;;
3d;23;m;1041;378;1023;269;;110,4762418;;;;;;;;
3d;23;m;1040;385;1024;278;;108,1896483;;;;;;;;
3d;23;m;1039;392;1026;284;;108,7795937;;;;;;;;
3d;23;m;1038;399;1026;286;;113,6353818;;;;;;;;
3d;23;m;1036;406;1028;291;;115,277925;;;;;;;;
3d;23;m;1035;412;1028;297;;115,2128465;;;;;;;;
3d;23;m;1033;419;1029;305;;114,0701539;;;;;;;;
3d;23;m;1031;426;1029;309;;117,0170928;;;;;;;;
3d;23;m;1029;433;1029;314;;119;;;;;;;;
3d;23;m;1027;439;1030;319;;120,0374941;;;;;;;;
3d;23;m;1025;446;1031;325;;121,148669;;;;;;;;
3d;23;m;1022;452;1031;329;;123,3288287;;;;;;;;
3d;23;m;1020;459;1032;336;;123,5839795;;;;;;;;
3d;23;m;1017;465;1034;342;;124,1692393;;;;;;;;
3d;23;m;1014;472;1034;349;;124,6154084;;;;;;;;
3d;23;m;1011;478;1034;353;;127,0983871;;;;;;;;
3d;23;m;1007;485;1031;364;;123,3572049;;;;;;;;
3d;23;m;1004;491;1029;374;;119,6411301;;;;;;;;
3d;23;m;1000;497;1026;384;;115,9525765;;;;;;;;
3d;23;m;996;503;1024;389;;117,3882447;;;;;;;;
3d;23;m;992;509;1019;401;;111,3238519;;;;;;;;
3d;23;m;988;515;1015;411;;107,4476617;;;;;;;;
3d;23;m;984;521;1013;415;;109,8954048;;;;;;;;
3d;23;m;980;526;1008;428;;101,9215384;;;;;;;;
3d;23;m;975;532;1003;439;;97,12363255;;;;;;;;
3d;23;m;971;538;996;452;;89,56003573;;;;;;;;
3d;23;m;966;543;989;466;;80,36168241;;;;;;;;
3d;23;m;961;548;986;471;;80,95677859;;;;;;;;
3d;23;m;956;553;979;485;;71,78439942;;;;;;;;
3d;23;m;951;558;974;497;;65,19202405;;;;;;;;
3d;23;m;946;563;972;501;;67,23094526;;;;;;;;
3d;23;m;940;568;964;512;;60,92618485;;;;;;;;
3d;23;m;935;573;957;524;;53,71219601;;;;;;;;
3d;23;m;929;577;952;531;;51,42956348;;;;;;;;
3d;23;m;924;582;949;534;;54,12023651;;;;;;;;
3d;23;m;918;586;942;542;;50,11985634;;;;;;;;
3d;23;m;912;590;934;552;;43,9089968;;;;;;;;
3d;23;m;906;594;926;561;;38,58756276;;;;;;;;
3d;23;m;900;598;923;563;;41,88078318;;;;;;;;
3d;23;m;894;602;918;568;;41,61730409;;;;;;;;
3d;23;m;888;605;908;576;;35,22782991;;;;;;;;
3d;23;m;882;609;901;584;;31,40063694;;;;;;;;
3d;23;m;875;612;897;587;;33,30165161;;;;;;;;
3d;23;m;869;615;890;592;;31,144823;;;;;;;;
3d;23;m;862;618;884;596;;31,11269837;;;;;;;;
3d;23;m;856;621;875;600;;28,31960452;;;;;;;;
3d;23;m;849;623;872;602;;31,144823;;;;;;;;
3d;23;m;843;626;865;604;;31,11269837;;;;;;;;
3d;23;m;836;628;860;605;;33,24154028;;;;;;;;
3d;23;m;829;630;854;607;;33,9705755;;;;;;;;
3d;23;m;823;632;851;608;;36,87817783;;;;;;;;
3d;23;m;816;634;845;612;;36,40054945;;;;;;;;
3d;23;m;809;636;840;614;;38,01315562;;;;;;;;
3d;23;m;802;637;836;618;;38,94868419;;;;;;;;
3d;23;m;796;638;834;619;;42,48529157;;;;;;;;
3d;23;m;789;639;830;621;;44,77722635;;;;;;;;
3d;23;m;782;640;825;624;;45,88027899;;;;;;;;
3d;23;m;775;641;822;626;;49,33558553;;;;;;;;
3d;23;m;768;641;819;628;;52,63078947;;;;;;;;
3d;23;m;761;641;813;631;;52,95280918;;;;;;;;
3d;23;m;753;641;808;633;;55,57877293;;;;;;;;
3d;23;m;746;640;803;634;;57,31491952;;;;;;;;
3d;23;m;738;639;801;635;;63,12685641;;;;;;;;
3d;23;m;731;638;797;635;;66,06814664;;;;;;;;
3d;23;m;723;636;791;635;;68,00735254;;;;;;;;
3d;23;m;716;635;782;635;;66;;;;;;;;
3d;23;m;708;633;778;635;;70,0285656;;;;;;;;
3d;23;m;701;631;772;634;;71,06335202;;;;;;;;
3d;23;m;694;629;764;633;;70,11419257;;;;;;;;
3d;23;m;687;627;756;631;;69,11584478;;;;;;;;
3d;23;m;680;625;751;631;;71,25307011;;;;;;;;
3d;23;m;672;622;744;630;;72,44308111;;;;;;;;
3d;23;m;665;620;737;628;;72,44308111;;;;;;;;
3d;23;m;659;617;729;626;;70,57619995;;;;;;;;
3d;23;m;652;614;725;626;;73,97972695;;;;;;;;
3d;23;m;645;611;718;625;;74,33034374;;;;;;;;
3d;23;m;638;607;711;624;;74,95331881;;;;;;;;
3d;23;m;632;604;704;622;;74,21590126;;;;;;;;
3d;23;m;625;600;700;621;;77,88452991;;;;;;;;
3d;23;m;619;596;692;618;;76,24303247;;;;;;;;
3d;23;m;613;592;683;616;;74;;;;;;;;
3d;23;m;607;588;679;614;;76,55063684;;;;;;;;
3d;23;m;601;584;670;611;;74,09453421;;;;;;;;
3d;23;m;595;580;660;607;;70,38465742;;;;;;;;
3d;23;m;589;575;652;603;;68,94200461;;;;;;;;
3d;23;m;583;571;647;601;;70,68238819;;;;;;;;
3d;23;m;578;566;637;597;;66,64833081;;;;;;;;
3d;23;m;572;561;627;592;;63,13477647;;;;;;;;
3d;23;m;567;556;619;586;;60,03332408;;;;;;;;
3d;23;m;562;551;615;583;;61,91122677;;;;;;;;
3d;23;m;557;546;606;579;;59,07622195;;;;;;;;
3d;23;m;553;540;598;575;;57,00877125;;;;;;;;
3d;23;m;548;535;591;570;;55,4436651;;;;;;;;
3d;23;m;543;529;588;568;;59,54829972;;;;;;;;
3d;23;m;539;524;581;561;;55,97320788;;;;;;;;
3d;23;m;535;518;574;554;;53,07541804;;;;;;;;
3d;23;m;531;512;568;546;;50,24937811;;;;;;;;
3d;23;m;527;506;566;543;;53,75872022;;;;;;;;
3d;23;m;524;500;560;533;;48,83646179;;;;;;;;
3d;23;m;520;494;556;526;;48,16637832;;;;;;;;
3d;23;m;517;488;552;519;;46,75467891;;;;;;;;
3d;23;m;514;482;550;516;;49,51767361;;;;;;;;
3d;23;m;511;475;547;510;;50,20956084;;;;;;;;
3d;23;m;509;469;543;503;;48,08326112;;;;;;;;
3d;23;m;506;462;540;497;;48,7954916;;;;;;;;
3d;23;m;504;456;538;494;;50,99019514;;;;;;;;
3d;23;m;502;449;535;489;;51,85556865;;;;;;;;
3d;23;m;500;443;533;483;;51,85556865;;;;;;;;
3d;23;m;498;436;530;477;;52,0096145;;;;;;;;
3d;23;m;496;429;528;472;;53,60037313;;;;;;;;
3d;23;m;495;423;526;464;;51,4003891;;;;;;;;
3d;23;m;494;416;523;457;;50,21951812;;;;;;;;
3d;23;m;493;409;521;450;;49,64876635;;;;;;;;
3d;23;m;492;402;521;445;;51,86520992;;;;;;;;
3d;23;m;492;396;519;434;;46,61544808;;;;;;;;
3d;23;m;491;389;518;425;;45;;;;;;;;
3d;23;m;491;382;517;414;;41,23105626;;;;;;;;
3d;23;m;491;375;517;407;;41,23105626;;;;;;;;
3d;23;m;491;368;518;395;;38,18376618;;;;;;;;
3d;23;m;491;361;519;385;;36,87817783;;;;;;;;
3d;23;m;491;353;521;374;;36,61966685;;;;;;;;
3d;23;m;491;346;521;369;;37,80211634;;;;;;;;
3d;23;m;491;338;522;361;;38,60051813;;;;;;;;
3d;23;m;492;331;524;347;;35,77708764;;;;;;;;
3d;23;m;493;323;526;336;;35,4682957;;;;;;;;
3d;23;m;493;316;527;332;;37,57658846;;;;;;;;
3d;23;m;494;309;531;319;;38,32753579;;;;;;;;
3d;23;m;496;301;535;309;;39,81205847;;;;;;;;
3d;23;m;497;294;538;299;;41,30375286;;;;;;;;
3d;23;m;499;287;540;293;;41,43669871;;;;;;;;
3d;23;m;501;280;546;281;;45,01110974;;;;;;;;
3d;23;m;503;273;550;272;;47,01063709;;;;;;;;
3d;23;m;505;266;553;267;;48,01041554;;;;;;;;
3d;23;m;507;259;559;257;;52,03844733;;;;;;;;
3d;23;m;510;252;564;247;;54,23098745;;;;;;;;
3d;23;m;512;245;568;239;;56,32051136;;;;;;;;
3d;23;m;515;238;571;235;;56,08029957;;;;;;;;
3d;23;m;519;232;577;225;;58,42088668;;;;;;;;
3d;23;m;522;225;582;218;;60,40695324;;;;;;;;
3d;23;m;525;219;585;211;;60,5309838;;;;;;;;
3d;23;m;529;213;588;208;;59,21148537;;;;;;;;
3d;23;m;533;207;592;201;;59,30430001;;;;;;;;
3d;23;m;537;201;596;193;;59,53990259;;;;;;;;
3d;23;m;541;195;601;187;;60,5309838;;;;;;;;
3d;23;m;545;189;603;183;;58,30951895;;;;;;;;
3d;23;m;550;183;607;177;;57,31491952;;;;;;;;
3d;23;m;555;178;611;169;;56,71860365;;;;;;;;
3d;23;m;559;172;615;162;;56,88585061;;;;;;;;
3d;23;m;564;167;616;158;;52,77309921;;;;;;;;
3d;23;m;570;162;619;152;;50,009999;;;;;;;;
3d;23;m;575;157;622;147;;48,05205511;;;;;;;;
3d;23;m;580;153;626;143;;47,07440918;;;;;;;;
3d;23;m;586;148;627;140;;41,77319715;;;;;;;;
3d;23;m;591;143;629;135;;38,83297568;;;;;;;;
3d;23;m;597;139;633;131;;36,87817783;;;;;;;;
3d;23;m;603;135;636;127;;33,95585369;;;;;;;;
3d;23;m;609;131;638;126;;29,42787794;;;;;;;;
3d;23;m;615;127;641;122;;26,47640459;;;;;;;;
3d;23;m;622;124;645;119;;23,53720459;;;;;;;;
3d;23;m;628;120;649;116;;21,37755833;;;;;;;;
3d;23;m;635;117;651;114;;16,2788206;;;;;;;;
3d;23;m;641;114;655;112;;14,14213562;;;;;;;;
3d;23;m;648;111;659;109;;11,18033989;;;;;;;;
3d;23;m;655;109;664;107;;9,219544457;;;;;;;;
3d;23;m;662;106;667;106;;5;;;;;;;;
3d;23;m;669;104;671;103;;2,236067977;;;;;;;;
3d;23;m;676;102;676;101;;1;;;;;;;;
3d;23;m;683;100;680;99;;3,16227766;;;;;;;;
3d;23;m;690;98;682;98;;8;;;;;;;;
3d;23;m;697;96;688;95;;9,055385138;;;;;;;;
3d;23;m;704;95;694;93;;10,19803903;;;;;;;;
3d;23;m;712;94;700;91;;12,36931688;;;;;;;;
3d;23;m;719;93;703;90;;16,2788206;;;;;;;;
3d;23;m;727;92;708;89;;19,23538406;;;;;;;;
3d;23;m;734;92;714;86;;20,88061302;;;;;;;;
3d;23;m;742;91;717;86;;25,49509757;;;;;;;;
3d;23;m;749;91;722;85;;27,65863337;;;;;;;;
3d;23;m;757;91;728;84;;29,83286778;;;;;;;;
3d;23;m;764;91;732;83;;32,984845;;;;;;;;
3d;23;m;771;91;734;83;;37,85498646;;;;;;;;
3d;23;m;778;91;739;83;;39,81205847;;;;;;;;
3d;23;m;785;91;743;82;;42,95346319;;;;;;;;
3d;23;m;792;91;746;82;;46,87216658;;;;;;;;
3d;23;m;799;92;750;81;;50,21951812;;;;;;;;
3d;23;m;805;92;752;81;;54,12947441;;;;;;;;
3d;23;m;812;93;756;80;;57,48912941;;;;;;;;
3d;23;m;819;94;761;80;;59,66573556;;;;;;;;
3d;23;m;826;96;763;80;;65;;;;;;;;
3d;23;m;832;97;767;79;;67,44627492;;;;;;;;
3d;23;m;839;99;770;79;;71,84010022;;;;;;;;
3d;23;m;846;100;774;79;;75;;;;;;;;
3d;23;m;852;103;775;79;;80,65358021;;;;;;;;
3d;23;m;859;105;780;79;;83,16850365;;;;;;;;
3d;23;m;865;107;784;80;;85,38149682;;;;;;;;
3d;23;m;872;110;789;82;;87,59566199;;;;;;;;
3d;23;m;878;112;791;82;;92,0271699;;;;;;;;
3d;23;m;884;115;795;83;;94,57801013;;;;;;;;
3d;23;m;891;119;799;84;;98,43271814;;;;;;;;
3d;23;m;897;122;803;85;;101,0198;;;;;;;;
3d;23;m;903;125;805;85;;105,848949;;;;;;;;
3d;23;m;909;129;810;85;;108,3374358;;;;;;;;
3d;23;m;915;133;813;87;;111,8928058;;;;;;;;
3d;23;m;920;137;819;88;;112,25863;;;;;;;;
3d;23;m;926;141;822;89;;116,2755348;;;;;;;;
3d;23;m;932;145;827;91;;118,0720119;;;;;;;;
3d;23;m;937;150;832;94;;119;;;;;;;;
3d;23;m;943;155;839;98;;118,5959527;;;;;;;;
3d;23;m;948;159;842;101;;120,8304597;;;;;;;;
3d;23;m;953;164;849;104;;120,0666482;;;;;;;;
3d;23;m;958;169;855;108;;119,707978;;;;;;;;
3d;23;m;963;175;861;111;;120,4159458;;;;;;;;
3d;23;m;968;180;864;114;;123,1746727;;;;;;;;
3d;23;m;973;186;871;117;;123,1462545;;;;;;;;
3d;23;m;977;191;878;122;;120,6731122;;;;;;;;
3d;23;m;982;197;884;127;;120,4325537;;;;;;;;
3d;23;m;986;203;887;129;;123,6001618;;;;;;;;
3d;23;m;990;209;895;135;;120,420098;;;;;;;;
3d;23;m;994;215;903;140;;117,9237041;;;;;;;;
3d;23;m;998;222;912;146;;114,7693339;;;;;;;;
3d;23;m;1002;228;916;149;;116,7775663;;;;;;;;
3d;23;m;1005;235;924;155;;113,8463877;;;;;;;;
3d;23;m;1009;241;931;160;;112,4499889;;;;;;;;
3d;23;m;1012;248;939;165;;110,5350623;;;;;;;;
3d;23;m;1015;255;942;168;;113,5693621;;;;;;;;
3d;23;m;1018;261;948;172;;113,2298547;;;;;;;;
3d;23;m;1021;268;954;176;;113,8112472;;;;;;;;
3d;23;m;1023;275;956;178;;117,889779;;;;;;;;
3d;23;m;1026;283;961;184;;118,4314148;;;;;;;;
3d;23;m;1028;290;966;190;;117,6605286;;;;;;;;
3d;23;m;1030;297;970;195;;118,3384975;;;;;;;;
3d;23;m;1032;304;972;197;;122,6743657;;;;;;;;
3d;23;m;1034;312;975;200;;126,589889;;;;;;;;
3d;23;m;1036;319;979;204;;128,351081;;;;;;;;
3d;23;m;1037;327;982;208;;131,0953851;;;;;;;;
3d;23;m;1038;334;984;210;;135,2479205;;;;;;;;
3d;23;m;1039;342;989;215;;136,4880947;;;;;;;;
3d;23;m;1040;349;992;220;;137,640837;;;;;;;;
3d;23;m;1041;357;996;226;;138,5135372;;;;;;;;
3d;23;m;1041;364;997;229;;141,9894362;;;;;;;;
3d;23;m;1041;371;1001;233;;143,6802004;;;;;;;;
3d;23;m;1041;378;1004;240;;142,8740704;;;;;;;;
3d;23;m;1040;385;1007;249;;139,9464183;;;;;;;;
3d;23;m;1039;392;1008;254;;141,4390328;;;;;;;;
3d;23;m;1038;399;1010;260;;141,7921013;;;;;;;;
3d;23;m;1036;405;1012;266;;141,0567262;;;;;;;;
3d;23;m;1035;412;1015;273;;140,431478;;;;;;;;
3d;23;m;1033;419;1016;277;;143,0139853;;;;;;;;
3d;23;m;1031;426;1018;284;;142,5938288;;;;;;;;
3d;23;m;1029;432;1021;288;;144,222051;;;;;;;;
3d;23;m;1027;439;1023;295;;144,0555448;;;;;;;;
3d;23;m;1025;446;1024;298;;148,0033783;;;;;;;;
3d;23;m;1022;452;1025;307;;145,0310312;;;;;;;;
3d;23;m;1020;459;1027;316;;143,1712262;;;;;;;;
3d;23;m;1017;465;1028;323;;142,4254191;;;;;;;;
3d;23;m;1014;472;1028;327;;145,6742942;;;;;;;;
3d;23;m;1011;478;1029;337;;142,1442929;;;;;;;;
3d;23;m;1007;484;1029;346;;139,7426206;;;;;;;;
3d;23;m;1004;490;1029;352;;140,2462121;;;;;;;;
3d;23;m;1000;497;1029;355;;144,9310181;;;;;;;;
3d;23;m;997;503;1028;361;;145,3444185;;;;;;;;
3d;23;m;993;509;1027;368;;145,0413734;;;;;;;;
3d;23;m;989;515;1026;374;;145,7737974;;;;;;;;
3d;23;m;984;520;1025;377;;148,7615542;;;;;;;;
3d;23;m;980;526;1025;381;;151,8222645;;;;;;;;
3d;23;m;976;532;1023;386;;153,3786165;;;;;;;;
3d;23;m;971;537;1021;392;;153,3786165;;;;;;;;
3d;23;m;966;543;1020;395;;157,5436447;;;;;;;;
3d;23;m;961;548;1019;402;;157,0986951;;;;;;;;
3d;23;m;956;553;1017;409;;156,3873396;;;;;;;;
3d;23;m;951;558;1015;412;;159,4114174;;;;;;;;
3d;23;m;946;563;1014;419;;159,2482339;;;;;;;;
3d;23;m;941;568;1011;429;;155,6309738;;;;;;;;
3d;23;m;935;573;1008;439;;152,5942332;;;;;;;;
3d;23;m;930;577;1007;442;;155,4155719;;;;;;;;
3d;23;m;924;582;1003;450;;153,8343265;;;;;;;;
3d;23;m;918;586;998;459;;150,0966355;;;;;;;;
3d;23;m;912;590;994;468;;146,9965986;;;;;;;;
3d;23;m;906;594;991;472;;148,6909547;;;;;;;;
3d;23;m;900;598;987;479;;147,4109901;;;;;;;;
3d;23;m;894;602;981;490;;141,8203088;;;;;;;;
3d;23;m;888;605;976;497;;139,3125981;;;;;;;;
3d;23;m;882;609;974;502;;141,1134296;;;;;;;;
3d;23;m;876;612;970;509;;139,4453298;;;;;;;;
3d;23;m;869;615;965;518;;136,4734406;;;;;;;;
3d;23;m;863;618;961;526;;134,4172608;;;;;;;;
3d;23;m;856;621;959;528;;138,7731963;;;;;;;;
3d;23;m;850;623;956;534;;138,4088147;;;;;;;;
3d;23;m;843;626;952;539;;139,4632568;;;;;;;;
3d;23;m;836;628;950;543;;142,2005626;;;;;;;;
3d;23;m;830;630;948;546;;144,8447445;;;;;;;;
3d;23;m;823;632;946;551;;147,2752525;;;;;;;;
3d;23;m;816;634;943;556;;149,040263;;;;;;;;
3d;23;m;809;635;941;561;;151,3274595;;;;;;;;
3d;23;m;803;637;940;562;;156,1857868;;;;;;;;
3d;23;m;796;638;937;565;;158,7765726;;;;;;;;
3d;23;m;789;639;935;568;;162,3483908;;;;;;;;
3d;23;m;782;640;932;571;;165,1090549;;;;;;;;
3d;23;m;775;641;930;573;;169,2601548;;;;;;;;
3d;23;m;769;641;927;575;;171,2308383;;;;;;;;
3d;23;m;761;641;923;579;;173,4589289;;;;;;;;
3d;23;m;754;641;918;584;;173,6231551;;;;;;;;
3d;23;m;746;640;916;586;;178,3704011;;;;;;;;
3d;23;m;739;639;911;590;;178,843507;;;;;;;;
3d;23;m;731;638;905;593;;179,7247896;;;;;;;;
3d;23;m;724;636;901;595;;181,6865433;;;;;;;;
3d;23;m;716;635;895;599;;182,5842271;;;;;;;;
3d;23;m;709;633;889;601;;182,8223181;;;;;;;;
3d;23;m;702;631;881;603;;181,1767093;;;;;;;;
3d;23;m;694;629;877;605;;184,567061;;;;;;;;
3d;23;m;687;627;869;608;;182,9890707;;;;;;;;
3d;23;m;680;625;861;611;;181,5406291;;;;;;;;
3d;23;m;673;622;852;614;;179,1786818;;;;;;;;
3d;23;m;666;620;847;616;;181,0441935;;;;;;;;
3d;23;m;659;617;838;619;;179,0111728;;;;;;;;
3d;23;m;652;614;826;623;;174,2326031;;;;;;;;
3d;23;m;645;611;815;625;;170,5754965;;;;;;;;
3d;23;m;639;607;809;628;;171,2921481;;;;;;;;
3d;23;m;632;604;799;629;;168,8608895;;;;;;;;
3d;23;m;626;600;788;630;;164,7543626;;;;;;;;
3d;23;m;619;597;775;631;;159,6621433;;;;;;;;
3d;23;m;613;593;771;631;;162,5053845;;;;;;;;
3d;23;m;607;589;758;631;;156,7322558;;;;;;;;
3d;23;m;601;584;745;630;;151,1687798;;;;;;;;
3d;23;m;595;580;731;628;;144,222051;;;;;;;;
3d;23;m;589;576;724;626;;143,9618005;;;;;;;;
3d;23;m;584;571;710;623;;136,3084737;;;;;;;;
3d;23;m;578;566;695;617;;127,6322843;;;;;;;;
3d;23;m;573;561;680;611;;118,1058847;;;;;;;;
3d;23;m;567;556;673;608;;118,0677771;;;;;;;;
3d;23;m;562;551;656;603;;107,424392;;;;;;;;
3d;23;m;557;546;641;597;;98,27003612;;;;;;;;
3d;23;m;553;541;627;589;;88,20430828;;;;;;;;
3d;23;m;548;535;621;584;;87,92041856;;;;;;;;
3d;23;m;544;530;607;577;;78,60025445;;;;;;;;
3d;23;m;539;524;596;570;;73,24616031;;;;;;;;
3d;23;m;535;518;585;562;;66,60330322;;;;;;;;
3d;23;m;531;512;580;557;;66,52818951;;;;;;;;
3d;23;m;528;506;571;549;;60,81118318;;;;;;;;
3d;23;m;524;500;564;542;;58;;;;;;;;
3d;23;m;521;494;555;532;;50,99019514;;;;;;;;
3d;23;m;517;488;551;527;;51,73973328;;;;;;;;
3d;23;m;514;482;546;520;;49,67896939;;;;;;;;
3d;23;m;511;476;540;514;;47,80167361;;;;;;;;
3d;23;m;509;469;538;510;;50,21951812;;;;;;;;
3d;23;m;506;463;533;502;;47,4341649;;;;;;;;
3d;23;m;504;456;528;494;;44,94441011;;;;;;;;
3d;23;m;502;450;525;487;;43,56604182;;;;;;;;
3d;23;m;500;443;523;484;;47,01063709;;;;;;;;
3d;23;m;498;436;521;477;;47,01063709;;;;;;;;
3d;23;m;496;430;517;470;;45,17742799;;;;;;;;
3d;23;m;495;423;515;464;;45,61797891;;;;;;;;
3d;23;m;494;416;514;461;;49,24428901;;;;;;;;
3d;23;m;493;410;511;457;;50,32891813;;;;;;;;
3d;23;m;492;403;509;453;;52,81098371;;;;;;;;
3d;23;m;492;396;507;450;;56,04462508;;;;;;;;
3d;23;m;491;389;505;447;;59,66573556;;;;;;;;
3d;23;m;491;382;503;442;;61,18823416;;;;;;;;
3d;23;m;491;376;501;437;;61,81423784;;;;;;;;
3d;23;m;491;369;499;432;;63,50590524;;;;;;;;
3d;23;m;491;361;498;429;;68,35934464;;;;;;;;
3d;23;m;491;354;496;423;;69,18092223;;;;;;;;
3d;23;m;491;346;495;417;;71,11258679;;;;;;;;
3d;23;m;491;339;494;409;;70,06425622;;;;;;;;
3d;23;m;492;331;494;405;;74,02702209;;;;;;;;
3d;23;m;492;324;492;399;;75;;;;;;;;
3d;23;m;493;316;492;394;;78,00640999;;;;;;;;
3d;23;m;494;309;490;388;;79,101201;;;;;;;;
3d;23;m;496;302;490;385;;83,21658489;;;;;;;;
3d;23;m;497;294;490;379;;85,28774824;;;;;;;;
3d;23;m;499;287;489;373;;86,57944329;;;;;;;;
3d;23;m;500;280;489;368;;88,68483523;;;;;;;;
3d;23;m;502;273;489;366;;93,90420651;;;;;;;;
3d;23;m;505;266;488;362;;97,49358953;;;;;;;;
3d;23;m;507;259;488;359;;101,7889974;;;;;;;;
3d;23;m;510;252;488;354;;104,3455797;;;;;;;;
3d;23;m;512;245;488;352;;109,658561;;;;;;;;
3d;23;m;515;239;488;346;;110,3539759;;;;;;;;
3d;23;m;518;232;488;341;;113,0530849;;;;;;;;
3d;23;m;522;226;488;337;;116,090482;;;;;;;;
3d;23;m;525;219;488;335;;121,7579566;;;;;;;;
3d;23;m;529;213;488;332;;125,8650071;;;;;;;;
3d;23;m;533;207;489;328;;128,751699;;;;;;;;
3d;23;m;537;201;490;323;;130,7402004;;;;;;;;
3d;23;m;541;195;490;320;;135,0037037;;;;;;;;
3d;23;m;545;189;492;314;;135,7718675;;;;;;;;
3d;23;m;550;184;493;310;;138,2931669;;;;;;;;
3d;23;m;554;178;493;307;;142,69548;;;;;;;;
3d;23;m;559;173;494;302;;144,4506836;;;;;;;;
3d;23;m;564;168;496;298;;146,7105995;;;;;;;;
3d;23;m;569;162;498;292;;148,1249473;;;;;;;;
3d;23;m;575;158;499;289;;151,4496616;;;;;;;;
3d;23;m;580;153;501;282;;151,2679741;;;;;;;;
3d;23;m;585;148;505;275;;150,0966355;;;;;;;;
3d;23;m;591;144;509;269;;149,4958193;;;;;;;;
3d;23;m;597;139;510;265;;153,1176019;;;;;;;;
3d;23;m;603;135;516;255;;148,2194319;;;;;;;;
3d;23;m;609;131;520;247;;146,2087549;;;;;;;;
3d;23;m;615;128;524;240;;144,3086969;;;;;;;;
3d;23;m;621;124;528;235;;144,8102206;;;;;;;;
3d;23;m;628;121;534;225;;140,1855913;;;;;;;;
3d;23;m;634;117;540;216;;136,5173982;;;;;;;;
3d;23;m;641;114;546;208;;133,6450523;;;;;;;;
3d;23;m;648;111;550;203;;134,4172608;;;;;;;;
